,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Mandera,KE,3.94,41.87,78.08,67,36,19.69,scattered clouds,0.0,0.0
1,Nome,US,64.5,-165.41,68.0,63,1,12.75,clear sky,0.0,0.0
2,Vaini,TO,-21.2,-175.2,73.4,73,75,17.22,light intensity drizzle,0.0,0.0
3,Punta Arenas,CL,-53.15,-70.92,33.8,84,72,8.05,light snow,0.0,0.13
4,Maceio,BR,-9.67,-35.74,73.4,88,75,1.12,broken clouds,0.0,0.0
5,Arraial Do Cabo,BR,-22.97,-42.03,72.99,78,69,15.68,broken clouds,0.0,0.0
6,Novobirilyussy,RU,56.95,90.67,60.57,77,0,2.57,clear sky,0.0,0.0
7,Sinop,TR,41.77,34.87,62.4,57,0,4.47,clear sky,0.0,0.0
8,Kribi,CM,2.95,9.92,75.16,91,70,6.31,light rain,0.21,0.0
9,Codrington,AU,-38.27,141.97,51.28,84,1,3.47,clear sky,0.0,0.0
10,Busselton,AU,-33.65,115.33,55.0,99,44,1.99,light rain,0.28,0.0
11,La Ronge,CA,55.1,-105.28,66.2,88,90,4.7,thunderstorm with light rain,0.0,0.0
12,Lebu,CL,-37.62,-73.65,48.36,90,100,8.9,overcast clouds,0.0,0.0
13,Kapaa,US,22.08,-159.32,82.4,69,40,20.8,moderate rain,2.03,0.0
14,Rikitea,PF,-23.12,-134.97,71.22,72,3,15.03,clear sky,0.0,0.0
15,Dikson,RU,73.51,80.55,41.49,97,98,4.99,overcast clouds,0.0,0.0
16,Astara,AZ,38.5,48.67,68.0,72,25,2.24,scattered clouds,0.0,0.0
17,Lumeje,AO,-11.55,20.78,59.23,41,0,6.64,clear sky,0.0,0.0
18,San Jose,US,37.34,-121.89,91.0,28,1,14.99,clear sky,0.0,0.0
19,Castro,BR,-24.79,-50.01,58.78,84,4,5.41,clear sky,0.0,0.0
20,Mount Pleasant,US,32.79,-79.86,89.01,74,1,10.45,clear sky,0.0,0.0
21,Sao Filipe,CV,14.9,-24.5,74.28,82,73,3.47,broken clouds,0.0,0.0
22,Poli,TZ,-3.33,36.8,55.92,97,59,6.17,broken clouds,0.0,0.0
23,Bluff,NZ,-46.6,168.33,47.05,68,91,10.38,overcast clouds,0.0,0.0
24,Albany,US,42.6,-73.97,82.99,53,10,5.44,clear sky,0.0,0.0
25,Mananjary,MG,-21.22,48.33,66.29,90,10,5.41,clear sky,0.0,0.0
26,Pangnirtung,CA,66.15,-65.71,48.81,61,43,1.5,scattered clouds,0.0,0.0
27,Lahat,ID,-3.8,103.53,73.4,82,60,2.39,broken clouds,0.0,0.0
28,Salalah,OM,17.02,54.09,80.6,94,90,3.36,drizzle,0.0,0.0
29,Oga,IT,46.46,10.35,51.8,86,20,1.12,few clouds,0.0,0.0
30,Victoria,HK,22.29,114.16,88.0,74,11,4.0,few clouds,0.0,0.0
