,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mandera,KE,78.08,scattered clouds,3.94,41.87,Kornesh Hotel and Lodging
24,Albany,US,82.99,clear sky,42.6,-73.97,
28,Salalah,OM,80.6,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
30,Victoria,HK,88.0,few clouds,22.29,114.16,Mini Hotel Central
36,Rongcheng,CN,84.0,overcast clouds,30.63,117.85,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
44,Tual,ID,79.07,scattered clouds,-5.67,132.75,Grand Vilia Hotel
45,Nizhniy Kuranakh,RU,85.64,scattered clouds,58.84,125.49,Park Pobedy
52,Faanui,PF,79.02,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Coos Bay,US,75.99,clear sky,43.37,-124.22,Best Western Holiday Hotel
68,Shingu,JP,75.2,shower rain,33.73,135.98,Shingu UI Hotel
71,Bethel,US,81.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
72,Wad Rawah,SD,83.59,broken clouds,15.16,33.14,ود الترابي
75,Shubarkuduk,KZ,81.63,overcast clouds,49.14,56.49,
82,Xiaoshi,CN,75.2,mist,41.3,124.12,Junsheng Fengweilou Farmstay
84,Atuona,PF,79.83,clear sky,-9.8,-139.03,Villa Enata
87,Hilo,US,84.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
94,Hamilton,US,77.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
97,Sangar,RU,75.83,scattered clouds,63.92,127.47,
109,Miram Shah,PK,79.77,clear sky,33.01,70.07,Bachelor Hostel
110,San Cristobal,VE,78.8,scattered clouds,7.77,-72.22,Pirineos
112,Kavieng,PG,83.73,overcast clouds,-2.57,150.8,Nusa Island Retreat
118,Galle,LK,80.46,overcast clouds,6.04,80.22,CocoBay Unawatuna
119,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
121,Soto La Marina,MX,87.01,clear sky,23.77,-98.22,Hotel Chicago
123,Kloulklubed,PW,77.0,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
131,Safaga,EG,86.68,clear sky,26.73,33.94,Lamar Resort Abu Soma
134,Hithadhoo,MV,84.83,broken clouds,-0.6,73.08,Scoop Guest House
137,Phetchabun,TH,75.2,few clouds,16.25,101.08,วินธนา รีสอร์ท
140,Palmer,US,84.2,scattered clouds,42.16,-72.33,Wedgewood Motel
142,Ahuimanu,US,84.2,overcast clouds,21.44,-157.84,Paradise Bay Resort
143,Luganville,VU,80.6,scattered clouds,-15.53,167.17,The Espiritu Hotel
147,Namtsy,RU,82.4,clear sky,62.72,129.67,"""Эңсиэли Киин"""
148,Marigot,MF,84.2,scattered clouds,18.07,-63.08,Royal Palm Beach Resort
153,Kailua,US,84.2,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
155,Ruwi,OM,86.0,few clouds,23.6,58.55,Al Falaj Hotel
157,Guane,CU,79.92,overcast clouds,22.2,-84.09,base de Campismo LosPortales de Guane
160,Taksimo,RU,80.1,clear sky,56.34,114.88,"Gostinitsa ""Viktoriya"""
161,Jalu,LY,75.76,clear sky,29.03,21.55,Jalu Hotel
162,Balabac,PH,84.11,overcast clouds,7.99,117.06,Sing and Swing Lodge
164,Luwuk,ID,81.97,broken clouds,-0.95,122.79,Hotel Santika Luwuk
165,Butaritari,KI,83.71,broken clouds,3.07,172.79,Isles Sunset Lodge
169,Thinadhoo,MV,84.88,overcast clouds,0.53,72.93,
173,Puerto Escondido,MX,84.2,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
177,Ambulu,ID,77.74,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
178,Tigzirt,DZ,76.46,overcast clouds,36.89,4.12,Appartement de la plage
180,Analipsis,GR,79.0,clear sky,35.32,25.57,Angelika Apartotel
181,San Policarpo,PH,84.25,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
183,Oistins,BB,82.4,few clouds,13.07,-59.53,Butterfly Beach Hotel
187,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
197,Nalut,LY,77.16,clear sky,30.33,10.85,
207,Hami,CN,76.91,broken clouds,42.8,93.45,Laoyutang Resort
209,Kutum,SD,75.7,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
210,North Bend,US,75.99,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
216,Mudbidri,IN,75.2,mist,13.08,74.98,Hotel Navami Comforts
224,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
225,Vinh,VN,85.77,clear sky,18.67,105.67,Thanh Tu Hotel
226,Gushikawa,JP,87.8,clear sky,26.35,127.87,Kirari Guest House
233,Honiara,SB,86.0,broken clouds,-9.43,159.95,Heritage Park Hotel
234,Cayenne,GF,77.0,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
237,Cozumel,MX,86.0,clear sky,20.51,-86.95,Cozumel Palace® All Inclusive Resort
238,Cairns,AU,77.0,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
239,Itoman,JP,87.8,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
246,Sorong,ID,81.55,clear sky,-0.88,131.25,The Waigo Hotel
247,Tynda,RU,86.34,clear sky,55.17,124.72,Medis
249,Kuching,MY,78.8,few clouds,1.55,110.33,Hilton Kuching
253,Wewak,PG,83.61,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
257,Zyryanka,RU,77.04,overcast clouds,65.75,150.85,Zyryanka
260,Winona,US,77.0,broken clouds,43.97,-91.77,
264,Khandbari,NP,75.43,broken clouds,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
267,Jacareacanga,BR,77.79,few clouds,-6.22,-57.75,Casa do Ian😎
271,Makakilo City,US,86.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
272,Cocobeach,GA,77.0,scattered clouds,1.0,9.58,Hôtel A Cocobeach
275,Agadez,NE,85.12,clear sky,19.75,10.25,
282,Guerrero Negro,MX,78.06,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
291,Bandarbeyla,SO,82.06,broken clouds,9.49,50.81,REER XOOSHLE GROUP
298,Chuguyevka,RU,77.83,scattered clouds,44.17,133.86,Gostinitsa Svet V Okne
308,Isla Mujeres,MX,86.0,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
311,Diamantino,BR,75.16,few clouds,-14.41,-56.45,Hotel Delta
312,Nouakchott,MR,80.6,few clouds,18.09,-15.98,Hôtel Iman
319,Nishihara,JP,87.8,broken clouds,26.18,127.76,Minshuku Agaihama
325,San Quintin,MX,76.23,clear sky,30.48,-115.95,Old Mill Hotel
328,Namatanai,PG,79.43,overcast clouds,-3.67,152.43,Namatanai Hotel
329,Sola,VU,80.6,overcast clouds,-13.88,167.55,Leumerus Bungalows
338,Tindwari,IN,87.35,overcast clouds,25.62,80.53,Vikash tea stall *S.S.P*
339,Tamiahua,MX,81.93,clear sky,21.27,-97.45,Mission Of The Sun Hotel
344,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
346,Tabuk,PH,84.07,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
350,Miri,MY,82.4,few clouds,4.41,114.01,"Mega Hotel, Miri"
351,Itarema,BR,77.59,few clouds,-2.92,-39.92,Windvillage
352,Mahon,ES,75.2,overcast clouds,39.89,4.27,ARTIEM Capri
356,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
357,Qurbus,TN,75.2,clear sky,36.82,10.57,Hotel des Thermes
359,Arecibo,PR,84.0,overcast clouds,18.47,-66.72,Caño Tiburones Guest House
361,Portland,US,77.0,few clouds,45.52,-122.68,Portland Marriott City Center
364,Cartagena,CO,86.0,broken clouds,10.4,-75.51,Allure Chocolat
368,Sukumo,JP,75.97,overcast clouds,32.93,132.73,初福荘
370,Yangcun,CN,80.01,mist,39.36,117.06,Hanting Express Tianjin Wuqing Jingjin Road
372,Boa Vista,BR,77.0,broken clouds,2.82,-60.67,Aipana Plaza Hotel
374,Morant Bay,JM,87.8,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
381,Kudahuvadhoo,MV,84.11,few clouds,2.67,72.89,Kudahuvadhoo Retreat
385,Banda Aceh,ID,81.27,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
389,Palasa,IN,83.03,overcast clouds,18.77,84.42,Malla Krishana apartment
392,Athmallik,IN,80.94,overcast clouds,20.72,84.53,Swadesh motors ..
406,Tanout,NE,84.18,overcast clouds,14.97,8.89,
411,Mayo,US,84.2,overcast clouds,38.89,-76.51,Resorts Resource Group International
413,Dauriya,RU,76.78,overcast clouds,49.93,116.87,
414,Feijo,BR,78.62,broken clouds,-8.16,-70.35,Hotel e Restaurante Aҫai
416,Jasper,US,87.8,clear sky,37.2,-94.35,Guest House Motel
420,Sabzevar,IR,76.62,overcast clouds,36.21,57.68,پارکینگ وسایل سنگین جنوب
425,Nakhon Si Thammarat,TH,80.6,few clouds,8.43,99.97,โรงแรมช่อลดา
428,Gayeri,BF,79.23,broken clouds,12.65,0.49,
432,Banjar,ID,77.0,broken clouds,-8.19,114.97,The Hamsa Resort
438,Sidi Ali,DZ,76.8,overcast clouds,36.1,0.42,
439,Langxiang,CN,81.9,clear sky,46.95,128.88,Pearl Hotel
440,Karpathos,GR,75.2,clear sky,35.51,27.21,Alex
441,Pedernales,DO,86.0,scattered clouds,18.04,-71.74,Hotel Costa Marina
442,Diebougou,BF,76.32,overcast clouds,10.97,-3.25,Hotel Le Consulat
446,Satkhira,BD,82.4,haze,22.72,89.1,kaligonj Mass
447,Progreso,MX,88.0,scattered clouds,21.28,-89.67,Playa Linda Hotel
450,Mitsamiouli,KM,77.22,clear sky,-11.38,43.28,Foyer ADM
