City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Margate,GB,2020-07-09 04:01:01,51.38,1.39,61.0,99,95,3.0
1,Hermanus,ZA,2020-07-09 04:01:13,-34.42,19.23,60.01,53,100,11.99
2,Maragogi,BR,2020-07-09 03:58:55,-9.01,-35.22,74.46,89,17,4.36
3,Bredasdorp,ZA,2020-07-09 04:01:14,-34.53,20.04,60.8,44,100,8.05
4,Dikson,RU,2020-07-09 04:01:14,73.51,80.55,44.31,83,0,15.41
5,Aykhal,RU,2020-07-09 04:01:14,66.0,111.5,69.8,40,40,11.18
6,Kodiak,US,2020-07-09 03:59:09,57.79,-152.41,64.4,48,90,16.11
7,Port Blair,IN,2020-07-09 04:01:14,11.67,92.75,84.33,71,84,8.34
8,Mataura,NZ,2020-07-09 04:01:14,-46.19,168.86,43.66,94,100,5.48
9,Lasa,IT,2020-07-09 04:01:14,46.62,10.7,57.0,76,5,4.7
10,Punta Arenas,CL,2020-07-09 04:01:15,-53.15,-70.92,32.0,87,10,10.29
11,Saint-Philippe,RE,2020-07-09 04:01:09,-21.36,55.77,68.0,63,45,4.7
12,Derzhavinsk,KZ,2020-07-09 04:01:15,51.1,66.32,75.6,49,0,12.64
13,Svetlaya,RU,2020-07-09 04:01:15,46.54,138.33,59.41,92,97,4.18
14,Hobart,AU,2020-07-09 04:00:02,-42.88,147.33,53.6,62,40,2.24
15,Barrow,US,2020-07-09 04:00:37,71.29,-156.79,44.6,70,1,16.11
16,Kapaa,US,2020-07-09 04:01:16,22.08,-159.32,80.6,69,75,18.34
17,Saint-Georges,GD,2020-07-09 04:01:16,12.06,-61.75,80.6,83,20,9.17
18,East London,ZA,2020-07-09 04:01:16,-33.02,27.91,71.6,35,70,17.22
19,Mweka,CD,2020-07-09 04:01:16,-4.85,21.57,66.99,66,0,1.07
20,Ahuimanu,US,2020-07-09 04:01:16,21.44,-157.84,84.2,54,20,11.41
21,Douglas,US,2020-07-09 03:59:41,41.3,-96.17,82.99,74,1,6.93
22,Victoria,HK,2020-07-09 04:00:03,22.29,114.16,89.01,70,100,21.0
23,Rikitea,PF,2020-07-09 04:01:17,-23.12,-134.97,68.16,69,13,21.52
24,Ushuaia,AR,2020-07-09 04:01:06,-54.8,-68.3,39.2,64,75,8.05
25,Khatanga,RU,2020-07-09 04:00:56,71.97,102.5,65.52,48,95,14.45
26,Upernavik,GL,2020-07-09 04:01:17,72.79,-56.15,40.75,75,0,8.28
27,Deputatskiy,RU,2020-07-09 04:01:17,69.3,139.9,54.46,64,78,7.14
28,Albany,US,2020-07-09 03:59:00,42.6,-73.97,72.0,91,0,2.57
29,Vaini,TO,2020-07-09 04:01:18,-21.2,-175.2,75.2,78,75,8.05
30,Juneau,US,2020-07-09 03:59:01,58.3,-134.42,55.99,87,90,10.29
31,Itarema,BR,2020-07-09 04:01:18,-2.92,-39.92,76.08,87,74,11.14
32,Saint-Augustin,CA,2020-07-09 04:01:18,51.23,-58.65,55.62,93,100,18.43
33,Abha,SA,2020-07-09 04:01:18,18.22,42.51,66.2,48,63,4.74
34,Qaanaaq,GL,2020-07-09 04:01:19,77.48,-69.36,41.36,67,0,2.82
35,Ribeira Grande,PT,2020-07-09 04:01:19,38.52,-28.7,68.2,77,15,8.08
36,Dzilam Gonzalez,MX,2020-07-09 04:01:19,21.28,-88.93,84.99,83,32,8.28
37,Bengkulu,ID,2020-07-09 04:01:19,-3.8,102.27,83.21,64,99,3.62
38,Kaitangata,NZ,2020-07-09 04:01:01,-46.28,169.85,50.0,71,99,11.01
39,Inhambupe,BR,2020-07-09 04:01:19,-11.78,-38.35,68.02,95,23,5.14
40,Auki,SB,2020-07-09 04:01:20,-8.77,160.7,85.69,68,88,5.59
41,Bambous Virieux,MU,2020-07-09 04:01:20,-20.34,57.76,69.8,73,75,17.22
42,Alofi,NU,2020-07-09 04:01:20,-19.06,-169.92,78.8,78,40,14.99
43,Hilo,US,2020-07-09 04:00:58,19.73,-155.09,78.8,69,90,10.29
44,Jamestown,US,2020-07-09 04:01:20,42.1,-79.24,73.4,73,1,3.33
45,Aguimes,ES,2020-07-09 04:01:21,27.91,-15.45,75.0,78,0,28.86
46,Butaritari,KI,2020-07-09 04:00:54,3.07,172.79,83.68,78,81,17.96
47,Sibolga,ID,2020-07-09 04:01:21,1.74,98.78,77.49,75,100,0.54
48,Cairns,AU,2020-07-09 03:58:20,-16.92,145.77,78.8,61,40,17.22
49,Krasnyy Chikoy,RU,2020-07-09 04:01:21,50.36,108.75,68.85,73,98,3.71
50,Atuona,PF,2020-07-09 04:01:22,-9.8,-139.03,79.21,78,13,12.06
51,Najran,SA,2020-07-09 04:01:22,17.49,44.13,84.2,17,43,5.82
52,Adrar,MR,2020-07-09 04:01:22,20.5,-10.07,91.36,11,75,14.38
53,San Policarpo,PH,2020-07-09 04:01:22,12.18,125.51,85.64,67,91,7.72
54,Port Lincoln,AU,2020-07-09 04:01:22,-34.73,135.87,58.12,51,72,12.26
55,Luderitz,NA,2020-07-09 04:01:22,-26.65,15.16,51.8,100,0,12.75
56,Avera,US,2020-07-09 04:01:22,33.19,-82.53,77.0,88,90,5.75
57,Castro,BR,2020-07-09 04:01:17,-24.79,-50.01,48.78,97,23,6.53
58,Tibu,CO,2020-07-09 04:01:23,8.64,-72.74,73.78,96,100,1.88
59,Geraldton,AU,2020-07-09 04:00:55,-28.77,114.6,64.4,52,0,10.29
60,Dzerzhinskoye,RU,2020-07-09 04:01:23,56.83,95.23,59.88,95,100,5.68
61,Pahrump,US,2020-07-09 04:00:15,36.21,-115.98,88.0,8,0,3.0
62,Altay,CN,2020-07-09 04:01:23,47.87,88.12,71.8,39,89,5.21
63,Kavaratti,IN,2020-07-09 04:01:24,10.57,72.64,84.2,83,75,6.93
64,Georgetown,MY,2020-07-09 04:01:20,5.41,100.34,84.2,79,20,5.82
